Widget,Widget
"Free Shipping Info","Free Shipping Info"
"You need to add %1 more to your cart, to gain free shipping.","You need to add %1 more to your cart, to gain free shipping."
"(excl. tax)","(excl. tax)"
"(incl. tax)","(incl. tax)"
"Free Shipping is disabled. Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension.","Free Shipping is disabled. Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension."
"Free Shipping minimum order amount is zero. Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension.","Free Shipping minimum order amount is zero. Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension."
"Free Shipping minimum order amount is not equal to the customized value. This can cause errors in the notification! Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension.","Free Shipping minimum order amount is not equal to the customized value. This can cause errors in the notification! Please <a href=""%1"">configure correctly</a> Free Shipping before enabling the extension."
"The notification text must include %s. Please correct it!","The notification text must include %s. Please correct it!"
"The notification text can not be empty. Please correct it!","The notification text can not be empty. Please correct it!"
"No frontend themes found. Please check themes configuration!","No frontend themes found. Please check themes configuration!"
"No default frontend theme found. Please check themes configuration!","No default frontend theme found. Please check themes configuration!"
"The selected container can not be empty. Please correct it!","The selected container can not be empty. Please correct it!"
"-- Please Select --","-- Please Select --"
"No default frontend theme found. Custom position containers unavailable!","No default frontend theme found. Custom position containers unavailable!"
"Show (excl. tax) after price","Show (excl. tax) after price"
"Show (incl. tax) after price","Show (incl. tax) after price"
"Show (excl. tax) or (incl. tax) after price automatically depends on store settings","Show (excl. tax) or (incl. tax) after price automatically depends on store settings"
"Magevolve Extensions","Magevolve Extensions"
"Free Shipping Remaining Cost","Free Shipping Remaining Cost"
Basic,Basic
"Enable Extension","Enable Extension"
Common,Common
"Show Tax Info","Show Tax Info"
"Price and Tax Display","Price and Tax Display"
"Show if Cart is Empty","Show if Cart is Empty"
"Show Success Message","Show Success Message"
"Success Message","Success Message"
Cart,Cart
"Show Notification on Cart Page","Show Notification on Cart Page"
"Notification Text Cart Page","Notification Text Cart Page"
"Show Progress Indicator","Show Progress Indicator"
Display,Display
"Block Title","Block Title"
"Notification Text for Block","Notification Text for Block"
"Show in Custom Position","Show in Custom Position"
"Select Container","Select Container"
"Custom Amount","Custom Amount"
"Enable Custom Free Shipping Amount","Enable Custom Free Shipping Amount"
"Custom Free Shipping Amount","Custom Free Shipping Amount"
"Widget to show how much money more user should spend to gain free shipping","Widget to show how much money more user should spend to gain free shipping"
"The title of the free shipping notification block.","The title of the free shipping notification block."
"Notification Text","Notification Text"
"The notification text which will be displayed. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also.","The notification text which will be displayed. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also."
"Enable to show progress indicator.","Enable to show progress indicator."
Template,Template
"Notification Block Template","Notification Block Template"
"Notification Message Template","Notification Message Template"
